GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",668,91
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",685,95
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",379,86
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",798,89
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",572,85
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",960,133
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",1424,137
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",417,59
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",908,75
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",435,84
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",416,70
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",330,73
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",363,86
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",401,106
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",649,93
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",541,74
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",721,18
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",926,120
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",403,117
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",263,53
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",321,52
